,id,age,gender,income,days_on_platform,city,purchases
92,92,49,Female,144971,59,San Francisco,0
93,93,,Male,9143,11,New York City,0
94,94,,Male,136740,10,London,0
95,95,,Female,54455,27,London,1
96,96,,Male,279792,36,London,4
97,97,,Male,29338,47,New York City,2
98,98,39,Male,39017,37,Miami,0
99,99,39,Female,3550,11,Tokyo,1
100,100,18,Male,17604,41,Tokyo,0
101,101,19,Female,86038,21,San Francisco,1
102,102,,Male,90784,,Tokyo,2
103,103,49,Female,20144,22,Tokyo,2
104,104,,Male,24491,5,Tokyo,5
105,105,,Male,100126,12,Miami,3
106,106,,Male,56859,22,New York City,1
107,107,,Female,114142,10,San Francisco,2
108,108,38,Male,76871,9,San Francisco,0
109,109,,Female,185647,10,London,0
110,110,16,Female,31178,16,Tokyo,1
111,111,27,Female,7982,9,Miami,1
112,112,44,Male,111991,18,London,0
113,113,10,Female,155979,9,Tokyo,2
114,114,,Female,41138,2,San Francisco,0
115,115,,Male,130458,13,San Francisco,0
116,116,11,Male,28146,19,Miami,2
117,117,50,Female,756,21,San Francisco,4
118,118,29,Male,26825,9,Tokyo,1
119,119,,Female,82928,9,San Francisco,1
120,120,34,Male,75743,4,London,0
121,121,22,Female,133644,13,San Francisco,0
122,122,,Female,90495,19,San Francisco,2
123,123,26,Male,15137,5,Miami,0
124,124,19,Male,151420,50,San Francisco,0
125,125,41,Male,19170,21,Miami,1
126,126,,Female,17003,4,San Francisco,0
127,127,17,Male,6220,36,Miami,2
128,128,43,Female,94003,11,Miami,2
129,129,,Male,88453,31,London,0
130,130,,Male,10941,8,New York City,0
131,131,,Male,149643,16,Miami,0
132,132,,Female,94844,31,New York City,3
133,133,,Female,75438,12,Tokyo,1
134,134,,Male,231131,78,New York City,2
135,135,17,Male,47626,31,Tokyo,0
136,136,28,Female,66226,55,San Francisco,0
137,137,,Female,31279,15,San Francisco,0
138,138,,Male,64889,21,New York City,1
139,139,,Male,62570,1,London,0
140,140,18,Male,46470,29,Miami,2
141,141,49,Male,130567,40,Miami,0
142,142,48,Female,18409,6,New York City,5
143,143,34,Female,199128,11,Tokyo,2
144,144,19,Male,15078,6,San Francisco,2
145,145,38,Male,23834,17,London,2
146,146,24,Male,143915,69,Miami,0
147,147,47,Male,195904,47,Tokyo,4
148,148,42,Male,95196,63,London,1
149,149,35,Male,54390,11,New York City,0
150,150,46,Male,12539,36,Miami,0
151,151,,Male,30446,37,London,1
152,152,,Male,45020,42,San Francisco,0
153,153,26,Female,166254,2,San Francisco,1
154,154,,Male,92582,36,San Francisco,0
155,155,39,Female,73993,61,San Francisco,0
156,156,32,Female,66887,5,Miami,0
157,157,,Male,177228,4,Miami,0
158,158,,Female,142610,11,San Francisco,0
159,159,48,Male,26650,7,Miami,1
160,160,33,Male,201813,22,New York City,1
161,161,,Female,202365,34,London,4
162,162,50,Female,57256,19,New York City,0
163,163,,Male,110882,54,New York City,0
164,164,,Female,156060,38,Miami,1
165,165,,Female,164730,22,Tokyo,0
166,166,15,Male,32204,45,London,3
167,167,,Male,7903,67,Tokyo,1
168,168,45,Male,44825,27,London,3
169,169,,Male,9465,27,Miami,0
170,170,35,Female,222205,20,New York City,1
171,171,46,Male,58152,16,San Francisco,2
172,172,,Male,116918,48,London,1
173,173,28,Male,65525,67,San Francisco,0
174,174,12,Male,54619,2,Tokyo,0
175,175,23,Male,92662,32,Tokyo,2
176,176,41,Female,93672,45,Miami,3
177,177,,Female,57929,74,Miami,0
178,178,,Male,116878,6,Tokyo,0
179,179,,Female,81535,35,New York City,2
180,180,,Male,96055,6,San Francisco,2
181,181,19,Male,9076,30,London,0
182,182,18,Female,118228,16,New York City,1
183,183,,Female,223669,13,Tokyo,0
184,184,39,Male,165119,48,Miami,0
185,185,39,Male,63724,67,New York City,4
186,186,18,Male,91477,45,New York City,0
187,187,,Female,51931,25,New York City,1
188,188,,Female,33888,28,Tokyo,4
189,189,45,Male,87521,8,San Francisco,2
190,190,16,Female,59732,38,Miami,2
191,191,,Male,1497,40,San Francisco,0
192,192,31,Female,53355,35,New York City,2
193,193,48,Female,58820,32,Miami,0
194,194,,Female,8528,28,Tokyo,0
195,195,46,Male,65742,5,Tokyo,0
196,196,,Female,92148,21,Miami,0
197,197,36,Male,95618,1,New York City,2
198,198,50,Male,107407,78,Miami,2
199,199,,Female,59834,23,New York City,0
200,200,46,Female,309902,51,Tokyo,0
201,201,,Male,13623,6,London,1
202,202,49,Female,86803,,Miami,2
203,203,27,Male,18550,7,San Francisco,2
204,204,26,Male,104020,23,Miami,0
205,205,43,Female,44566,11,San Francisco,1
206,206,40,Female,21208,21,Miami,0
207,207,,Male,47767,34,New York City,1
208,208,,Female,9443,19,London,0
209,209,,Male,93917,67,New York City,0
210,210,,Female,81841,26,San Francisco,0
211,211,49,Male,107947,8,London,0
212,212,22,Male,103234,45,Tokyo,1
213,213,,Female,46751,27,Miami,2
214,214,,Female,180960,20,London,0
215,215,20,Male,87026,7,San Francisco,0
216,216,,Female,63933,26,Miami,0
217,217,,Female,117001,17,San Francisco,1
218,218,24,Female,162512,32,New York City,0
219,219,32,Female,214361,7,New York City,0
220,220,44,Female,18746,13,Miami,2
221,221,26,Male,176177,19,Tokyo,0
222,222,12,Female,72151,19,New York City,0
223,223,,Female,121436,20,Miami,1
224,224,43,Male,68863,21,New York City,0
225,225,,Male,58735,16,Miami,2
226,226,47,Male,46948,40,New York City,1
227,227,,Male,69553,22,San Francisco,2
228,228,25,Male,225512,29,London,3
229,229,46,Male,52330,40,New York City,0
230,230,23,Male,72162,55,Miami,0
231,231,28,Male,33271,5,San Francisco,2
232,232,,Female,113856,,London,1
233,233,37,Male,100904,44,Miami,0
234,234,,Male,129974,26,Miami,3
235,235,42,Male,59623,4,New York City,1
236,236,,Female,31939,6,Miami,2
237,237,,Female,109978,13,New York City,3
238,238,,Male,41849,59,Miami,3
239,239,,Female,26458,10,London,0
240,240,42,Female,134876,5,San Francisco,4
241,241,,Male,47598,32,New York City,2
242,242,28,Female,14414,4,Miami,0
243,243,,Female,9940,20,San Francisco,0
244,244,37,Male,43655,12,New York City,2
245,245,,Male,70872,42,Tokyo,0
246,246,,Male,135260,8,San Francisco,0
247,247,,Female,103129,14,San Francisco,2
248,248,34,Male,117416,22,London,2
249,249,,Female,265599,58,London,1
250,250,28,Male,102207,28,San Francisco,1
251,251,,Female,15994,21,London,1
252,252,,Male,38532,23,New York City,0
253,253,,Female,2806,22,Tokyo,4
254,254,30,Male,165761,42,San Francisco,2
255,255,30,Female,116481,11,Miami,0
256,256,33,Female,34454,49,San Francisco,0
257,257,21,Female,151527,87,Miami,1
258,258,,Female,61643,44,London,0
259,259,,Male,193218,19,San Francisco,0
260,260,,Male,117703,67,Tokyo,2
261,261,,Male,91100,13,New York City,1
262,262,35,Female,14049,21,San Francisco,1
263,263,,Female,123797,40,San Francisco,1
264,264,49,Female,22956,63,San Francisco,2
265,265,33,Female,73251,35,London,0
266,266,11,Female,118296,6,Tokyo,2
267,267,26,Male,24368,3,Tokyo,1
268,268,,Female,8527,50,San Francisco,1
269,269,,Female,136491,11,New York City,3
270,270,,Male,8492,20,Miami,0
271,271,,Male,71369,28,San Francisco,0
272,272,,Female,60457,11,San Francisco,2
273,273,36,Male,197033,13,London,0
274,274,44,Female,118176,28,New York City,0
275,275,30,Female,14399,17,San Francisco,0
276,276,,Male,135846,10,New York City,0
277,277,36,Male,118400,36,New York City,3
278,278,10,Female,72892,35,Tokyo,2
279,279,,Male,53648,,New York City,0
280,280,27,Female,29293,25,New York City,1
281,281,,Female,107097,24,Miami,0
282,282,10,Female,51214,49,London,1
283,283,22,Female,95353,14,San Francisco,2
284,284,,Male,166825,16,San Francisco,2
285,285,38,Male,128826,13,Miami,1
286,286,,Male,196019,4,San Francisco,0
287,287,,Male,40812,18,New York City,0
288,288,38,Male,142414,38,Tokyo,0
289,289,,Male,229541,28,New York City,0
290,290,,Male,70387,37,San Francisco,0
291,291,20,Female,126700,22,London,1
292,292,,Female,16968,14,San Francisco,0
293,293,,Male,55754,3,Tokyo,2
294,294,,Female,76339,8,Tokyo,0
295,295,47,Male,55774,3,Tokyo,2
296,296,,Female,93440,11,London,1
297,297,11,Male,10181,13,New York City,0
298,298,,Female,47546,26,Tokyo,3
299,299,,Female,147687,,San Francisco,2
300,300,,Female,143031,1,Miami,1
301,301,41,Male,222541,24,New York City,5
302,302,,Male,136946,39,Tokyo,0
303,303,,Male,46745,15,London,0
304,304,12,Female,109273,26,Miami,0
305,305,14,Male,102269,1,New York City,1
306,306,27,Male,36351,29,London,0
307,307,47,Male,219073,10,San Francisco,0
308,308,,Female,191620,51,New York City,3
309,309,26,Male,164043,,Miami,1
310,310,,Female,67403,25,Miami,0
311,311,50,Female,78530,40,Miami,2
312,312,,Female,16574,24,Miami,4
313,313,,Female,116155,31,Tokyo,1
314,314,,Male,43535,29,New York City,0
315,315,29,Male,14583,30,Tokyo,0
316,316,24,Female,56863,43,London,0
317,317,21,Male,62405,11,London,1
318,318,,Female,124711,71,San Francisco,1
319,319,29,Female,60096,3,New York City,1
320,320,48,Male,127181,8,Miami,3
321,321,,Male,52010,36,San Francisco,1
322,322,,Male,70368,1,New York City,0
323,323,27,Male,92534,49,Miami,5
324,324,17,Male,142883,25,Tokyo,2
325,325,13,Female,49016,8,Miami,0
326,326,35,Male,49526,22,Miami,0
327,327,10,Female,133043,1,Tokyo,2
328,328,,Female,26568,5,San Francisco,0
329,329,,Female,106406,4,New York City,1
330,330,21,Female,19277,11,Miami,2
331,331,,Female,49997,24,Tokyo,1
332,332,,Male,6621,22,Miami,0
333,333,35,Female,109924,1,Tokyo,0
334,334,,Female,40738,30,Tokyo,1
335,335,32,Female,40367,2,New York City,0
336,336,49,Female,127959,21,London,1
337,337,48,Male,41229,4,London,2
338,338,,Male,12706,,Tokyo,0
339,339,32,Male,69105,78,London,0
340,340,43,Female,171356,6,San Francisco,0
341,341,27,Male,68153,48,San Francisco,2
342,342,10,Female,89097,42,New York City,2
343,343,48,Male,13644,33,New York City,0
344,344,,Female,30375,7,New York City,1
345,345,,Female,46850,14,New York City,0
346,346,,Male,122065,8,San Francisco,3
347,347,,Female,55674,1,Tokyo,0
348,348,,Male,16021,36,New York City,2
349,349,37,Male,154170,2,New York City,3
350,350,,Male,84636,42,San Francisco,3
351,351,15,Female,42695,63,Miami,0
352,352,50,Female,16986,,San Francisco,2
353,353,43,Female,4526,2,New York City,2
354,354,29,Female,70705,24,San Francisco,1
355,355,,Male,145418,23,New York City,2
356,356,49,Female,44585,15,London,2
357,357,27,Male,8193,21,Miami,2
358,358,,Female,121494,1,Miami,0
359,359,,Female,182301,30,San Francisco,0
360,360,,Male,132229,32,San Francisco,0
361,361,11,Female,107281,45,Tokyo,2
362,362,,Female,82995,22,New York City,2
363,363,,Male,51093,42,San Francisco,1
364,364,31,Female,48212,17,London,1
365,365,31,Female,48359,13,San Francisco,1
366,366,,Female,39662,30,New York City,0
367,367,,Male,225174,62,New York City,2
368,368,,Male,106242,16,Tokyo,2
369,369,47,Female,120174,14,Tokyo,0
370,370,44,Male,16489,8,London,0
371,371,,Male,63377,7,New York City,1
372,372,,Male,41645,22,Tokyo,0
373,373,,Male,41042,6,New York City,1
374,374,,Male,224864,58,London,2
375,375,38,Female,126258,29,London,1
376,376,41,Male,78731,16,Tokyo,0
377,377,17,Male,3940,46,Miami,0
378,378,,Male,51462,22,San Francisco,2
379,379,41,Male,58135,17,San Francisco,2
380,380,,Male,18286,56,Miami,1
381,381,19,Female,61236,23,New York City,1
382,382,,Female,69239,9,Miami,0
383,383,,Female,27938,24,Miami,0
384,384,,Female,179794,10,London,1
385,385,48,Female,76830,17,San Francisco,0
386,386,50,Male,92283,37,Tokyo,0
387,387,20,Female,89170,7,Tokyo,1
388,388,14,Male,40281,23,San Francisco,1
389,389,,Male,31937,29,Tokyo,0
390,390,24,Female,33294,35,San Francisco,0
391,391,,Male,27508,,San Francisco,1
392,392,24,Female,69827,36,New York City,2
393,393,,Male,69817,22,New York City,1
394,394,21,Male,39487,38,Tokyo,2
395,395,,Male,42296,30,New York City,1
396,396,47,Female,71916,7,Miami,4
397,397,,Female,90719,31,San Francisco,1
398,398,,Male,93850,54,Miami,1
399,399,,Female,134452,26,San Francisco,1
400,400,,Male,63731,35,San Francisco,1
401,401,,Female,32823,6,Miami,0
402,402,10,Female,237764,12,Miami,3
403,403,,Male,78160,37,New York City,0
404,404,25,Male,20232,89,San Francisco,0
405,405,27,Male,179046,58,Miami,0
406,406,,Female,66360,,San Francisco,3
407,407,,Male,14016,32,San Francisco,0
408,408,45,Male,146427,1,Miami,1
409,409,21,Male,38068,7,Miami,0
410,410,,Male,65481,41,San Francisco,2
411,411,,Male,39237,25,Tokyo,0
412,412,18,Female,60688,9,New York City,1
413,413,,Female,62800,53,New York City,1
414,414,,Male,52787,2,London,0
415,415,10,Male,133931,28,Tokyo,0
416,416,,Male,19356,,Tokyo,0
417,417,,Female,170552,16,Tokyo,1
418,418,,Male,27132,6,San Francisco,1
419,419,20,Male,103513,45,London,2
420,420,10,Male,109813,21,Miami,0
421,421,15,Female,118006,6,Tokyo,2
422,422,46,Male,19178,19,San Francisco,2
423,423,43,Female,263840,49,London,0
424,424,,Male,48084,34,London,2
425,425,11,Male,13772,4,Tokyo,0
426,426,,Male,3774,1,San Francisco,0
427,427,46,Female,252340,5,Miami,1
428,428,,Female,1722,56,London,1
429,429,,Male,105860,46,London,0
430,430,,Female,50570,26,San Francisco,1
431,431,37,Male,141341,6,London,0
432,432,,Female,64812,11,Miami,0
433,433,15,Male,9781,19,Tokyo,1
434,434,,Male,43630,17,New York City,1
435,435,,Male,71157,31,London,2
436,436,32,Female,150430,14,Tokyo,1
437,437,,Male,107387,21,London,2
438,438,,Female,137796,31,San Francisco,4
439,439,48,Male,95735,8,London,2
440,440,29,Male,28803,32,New York City,0
441,441,19,Male,155813,37,San Francisco,3
442,442,34,Male,42544,56,Miami,2
443,443,,Female,26108,36,Miami,0
444,444,,Female,35047,7,London,1
445,445,,Male,236562,4,London,2
446,446,24,Female,17246,32,Tokyo,2
447,447,37,Male,77084,29,Tokyo,1
448,448,26,Female,127380,36,San Francisco,1
449,449,43,Male,3152,29,Tokyo,1
450,450,16,Male,114026,14,London,2
451,451,,Female,7518,23,Tokyo,1
452,452,,Male,132358,7,Tokyo,3
453,453,27,Female,7553,23,Miami,0
454,454,,Male,111270,33,San Francisco,1
455,455,13,Male,372813,,Miami,4
456,456,24,Male,5952,12,Miami,0
457,457,,Female,68552,9,Miami,4
458,458,,Female,45042,26,Tokyo,0
459,459,50,Male,56425,33,London,3
460,460,37,Female,34393,10,Miami,2
461,461,,Female,211522,9,San Francisco,0
462,462,46,Female,75745,9,Tokyo,0
463,463,11,Female,36337,16,Tokyo,0
464,464,17,Female,38407,3,Tokyo,2
465,465,,Male,26204,10,Miami,0
466,466,31,Male,172528,7,New York City,1
467,467,48,Female,15672,8,Miami,1
468,468,,Male,11015,31,San Francisco,0
469,469,,Female,216308,27,Tokyo,1
470,470,10,Female,5837,39,Miami,2
471,471,,Female,70171,3,Miami,0
472,472,,Male,48670,8,Miami,0
473,473,47,Male,224376,26,New York City,0
474,474,,Female,42930,26,Tokyo,2
475,475,19,Female,34303,10,San Francisco,1
476,476,,Male,241202,32,San Francisco,0
477,477,,Male,70082,23,Miami,0
478,478,,Male,12882,53,Tokyo,1
479,479,50,Female,210018,34,San Francisco,0
480,480,,Female,184569,12,Miami,0
481,481,,Female,241417,12,Tokyo,1
482,482,31,Male,90765,,London,2
483,483,,Female,18141,2,London,4
484,484,11,Male,55779,44,Miami,4
485,485,21,Female,130753,46,London,6
486,486,,Male,174745,9,London,5
487,487,,Female,116027,26,Miami,1
488,488,,Female,86885,40,New York City,0
489,489,19,Male,242122,35,San Francisco,0
490,490,21,Female,41011,18,New York City,0
491,491,34,Female,84362,14,London,1
492,492,,Male,48341,44,San Francisco,1
493,493,,Female,46077,2,New York City,1
494,494,46,Female,165877,47,Tokyo,1
495,495,,Male,174054,1,Miami,0
496,496,,Male,5743,13,London,0
497,497,,Male,51563,72,San Francisco,1
498,498,29,Female,39860,29,San Francisco,0
499,499,39,Male,7475,4,London,0
500,500,,Male,55262,32,London,1
501,501,,Male,138484,20,London,0
502,502,27,Female,103353,35,Tokyo,1
503,503,,Male,26634,35,London,1
504,504,10,Male,70504,52,Tokyo,1
505,505,,Male,60944,10,San Francisco,0
506,506,27,Male,156382,31,Tokyo,0
507,507,46,Male,6536,23,London,1
508,508,,Female,29339,5,London,0
509,509,,Male,38872,16,New York City,1
510,510,,Male,7397,57,San Francisco,0
511,511,49,Female,129025,68,Tokyo,1
512,512,,Male,65428,3,New York City,2
513,513,34,Male,86580,27,San Francisco,0
514,514,,Male,26867,25,Miami,4
515,515,,Male,84225,19,London,0
516,516,35,Male,104856,44,London,3
517,517,,Male,244077,26,San Francisco,1
518,518,,Female,41679,2,Tokyo,0
519,519,,Male,12821,7,New York City,3
520,520,39,Female,86986,30,San Francisco,0
521,521,14,Female,52124,28,San Francisco,0
522,522,,Male,33672,26,Tokyo,0
523,523,28,Male,40479,30,New York City,1
524,524,49,Female,58079,47,London,2
525,525,25,Female,21763,12,Miami,0
526,526,16,Female,98451,36,San Francisco,1
527,527,20,Male,149712,54,Tokyo,1
528,528,,Male,86520,40,New York City,0
529,529,,Female,120153,17,San Francisco,1
530,530,47,Male,61198,14,London,0
531,531,,Female,158433,6,New York City,0
532,532,15,Male,36961,46,San Francisco,1
533,533,48,Male,31158,37,New York City,0
534,534,30,Female,174942,8,New York City,2
535,535,40,Female,769,2,Miami,2
536,536,38,Male,100787,4,London,2
537,537,33,Male,1343,12,San Francisco,0
538,538,44,Male,197832,15,Miami,2
539,539,,Female,78516,40,Miami,3
540,540,,Female,144969,83,Miami,0
541,541,39,Male,174518,17,San Francisco,1
542,542,27,Female,30478,31,Tokyo,1
543,543,37,Female,161283,16,London,0
544,544,40,Male,70143,81,San Francisco,1
545,545,,Female,184482,7,San Francisco,0
546,546,18,Male,59281,1,Miami,3
547,547,,Female,61567,7,London,0
548,548,45,Male,45547,13,Tokyo,2
549,549,,Male,78351,47,New York City,0
550,550,45,Male,9642,28,Tokyo,3
551,551,12,Male,130380,31,San Francisco,1
552,552,10,Female,200937,21,San Francisco,2
553,553,,Female,40606,18,Miami,1
554,554,,Male,100959,7,Miami,0
555,555,,Male,33423,15,San Francisco,0
556,556,,Female,6677,3,Miami,0
557,557,,Male,34061,21,London,0
558,558,,Male,129809,6,Tokyo,0
559,559,,Male,95358,10,London,0
560,560,44,Male,158214,52,Miami,1
561,561,45,Male,159946,33,New York City,0
562,562,42,Male,21555,4,London,0
563,563,,Male,29036,4,New York City,3
564,564,15,Male,5123,4,New York City,1
565,565,21,Male,19865,14,Tokyo,4
566,566,,Female,159529,26,Miami,1
567,567,,Female,47295,48,San Francisco,0
568,568,22,Male,34813,12,London,2
569,569,10,Male,169156,9,Miami,1
570,570,46,Male,160093,9,London,1
571,571,45,Female,65150,13,Tokyo,0
572,572,15,Male,136320,,San Francisco,2
573,573,15,Male,22409,9,London,0
574,574,33,Male,77833,46,New York City,0
575,575,36,Female,38288,58,San Francisco,0
576,576,23,Female,85401,3,San Francisco,1
577,577,,Male,118392,46,San Francisco,2
578,578,,Male,50254,26,New York City,1
579,579,27,Male,173543,61,New York City,0
580,580,,Female,98269,10,London,0
581,581,42,Male,6289,6,London,0
582,582,,Male,156242,42,New York City,0
583,583,37,Female,230211,21,Tokyo,0
584,584,,Male,67753,18,Tokyo,0
585,585,,Female,77614,38,Tokyo,1
586,586,50,Female,95559,7,San Francisco,0
587,587,,Male,55193,7,San Francisco,0
588,588,,Male,51868,1,Tokyo,0
589,589,,Male,60193,11,London,1
590,590,,Male,61797,3,San Francisco,0
591,591,42,Male,60407,15,Tokyo,1
592,592,,Male,43721,9,Tokyo,3
593,593,,Female,52996,33,San Francisco,0
594,594,19,Male,82661,3,San Francisco,1
595,595,,Female,60661,5,Tokyo,3
596,596,,Female,51073,2,Miami,2
597,597,34,Male,33324,37,London,0
598,598,27,Male,7140,48,Miami,1
599,599,47,Male,145295,19,San Francisco,0
600,600,44,Female,69828,24,London,2
601,601,,Male,38090,27,Miami,0
602,602,,Male,101592,15,Tokyo,1
603,603,,Male,12176,15,New York City,2
604,604,44,Female,32875,33,Miami,0
605,605,17,Female,83143,50,New York City,2
606,606,42,Male,13816,5,New York City,4
607,607,,Male,79668,25,London,0
608,608,37,Male,34006,33,Tokyo,3
609,609,44,Male,110916,11,San Francisco,2
610,610,28,Male,30349,1,San Francisco,2
611,611,20,Male,78475,8,New York City,1
612,612,,Male,6017,,Miami,1
613,613,35,Male,74849,13,Miami,3
614,614,,Female,92465,29,Tokyo,4
615,615,32,Male,40236,35,Miami,1
616,616,34,Female,54187,37,New York City,3
617,617,33,Male,170375,32,London,0
618,618,,Female,84371,20,London,1
619,619,43,Male,178369,17,Miami,0
620,620,44,Female,19881,20,Miami,0
621,621,,Male,263497,2,San Francisco,3
622,622,,Male,155199,32,London,3
623,623,,Male,11043,20,San Francisco,1
624,624,10,Female,214903,18,San Francisco,1
625,625,12,Male,170974,60,London,0
626,626,46,Male,175146,3,London,0
627,627,,Male,117203,7,London,4
628,628,,Male,7545,21,San Francisco,1
629,629,,Male,32219,49,New York City,1
630,630,13,Male,63246,36,San Francisco,2
631,631,,Male,129477,39,San Francisco,2
632,632,,Male,70584,31,London,1
633,633,,Female,48427,38,Tokyo,1
634,634,31,Female,99765,28,Miami,0
635,635,40,Female,64138,22,London,2
636,636,,Male,28304,6,San Francisco,1
637,637,34,Male,91453,35,London,0
638,638,49,Male,87552,13,London,0
639,639,,Male,18687,62,London,0
640,640,40,Female,734,12,Miami,1
641,641,34,Female,60218,6,Tokyo,0
642,642,42,Male,152051,30,Tokyo,0
643,643,38,Female,210323,31,New York City,1
644,644,,Female,57937,10,New York City,0
645,645,49,Female,215686,26,Miami,0
646,646,,Female,160106,61,London,0
647,647,,Male,85945,33,Tokyo,0
648,648,,Female,57113,5,New York City,0
649,649,,Female,85976,9,Tokyo,1
650,650,18,Female,27754,57,New York City,1
651,651,,Male,2134,26,London,2
652,652,34,Female,190425,11,Miami,0
653,653,28,Female,39474,14,London,0
654,654,19,Male,62432,,New York City,2
655,655,,Female,78419,4,San Francisco,2
656,656,50,Female,42700,,Tokyo,1
657,657,11,Male,87490,11,Miami,0
658,658,40,Male,21521,30,San Francisco,2
659,659,,Male,66440,15,Miami,2
660,660,,Male,43288,6,Miami,0
661,661,,Male,54128,2,New York City,1
662,662,,Male,82298,8,New York City,1
663,663,,Female,53859,,Tokyo,2
664,664,16,Male,42019,9,Miami,2
665,665,,Female,81600,24,New York City,1
666,666,50,Female,108769,40,Miami,3
667,667,,Female,59252,23,Miami,0
668,668,13,Female,43843,12,London,1
669,669,11,Female,62328,6,New York City,1
670,670,29,Female,44863,40,New York City,0
671,671,23,Male,15733,90,London,1
672,672,,Male,226409,13,Tokyo,2
673,673,44,Male,109498,42,San Francisco,0
674,674,50,Male,86153,11,Tokyo,2
675,675,25,Male,126850,18,New York City,2
676,676,,Male,195180,14,Miami,0
677,677,,Female,56908,5,Miami,2
678,678,,Male,42401,5,Miami,2
679,679,16,Male,50194,18,London,4
680,680,32,Female,37736,35,Tokyo,0
681,681,36,Female,14028,23,Miami,1
682,682,12,Male,106516,25,Tokyo,1
683,683,25,Female,40523,51,San Francisco,1
684,684,,Male,67980,,San Francisco,0
685,685,,Male,59490,32,San Francisco,0
686,686,45,Female,30715,27,New York City,0
687,687,,Female,60152,42,Tokyo,1
688,688,45,Male,93915,28,San Francisco,1
689,689,,Male,47912,28,Miami,1
690,690,,Female,146516,2,Tokyo,3
691,691,,Female,87484,17,San Francisco,1
692,692,11,Male,43490,24,New York City,3
693,693,,Male,88726,14,San Francisco,0
694,694,31,Male,213112,13,London,2
695,695,46,Male,17515,14,San Francisco,1
696,696,49,Female,150206,59,San Francisco,1
697,697,31,Male,79483,103,San Francisco,0
